Iterative Deepening Depth first search-
Number of nodes expanded: 99
[99, 96, 1] || [1, 1, 0]
[98, 95, 1] || [2, 2, 0]
[97, 94, 1] || [3, 3, 0]
[96, 93, 1] || [4, 4, 0]
[95, 92, 1] || [5, 5, 0]
[94, 91, 1] || [6, 6, 0]
[93, 90, 1] || [7, 7, 0]
[92, 89, 1] || [8, 8, 0]
[91, 88, 1] || [9, 9, 0]
[90, 87, 1] || [10, 10, 0]
[89, 86, 1] || [11, 11, 0]
[88, 85, 1] || [12, 12, 0]
[87, 84, 1] || [13, 13, 0]
[86, 83, 1] || [14, 14, 0]
[85, 82, 1] || [15, 15, 0]
[84, 81, 1] || [16, 16, 0]
[83, 80, 1] || [17, 17, 0]
[82, 79, 1] || [18, 18, 0]
[81, 78, 1] || [19, 19, 0]
[80, 77, 1] || [20, 20, 0]
[79, 76, 1] || [21, 21, 0]
[78, 75, 1] || [22, 22, 0]
[77, 74, 1] || [23, 23, 0]
[76, 73, 1] || [24, 24, 0]
[75, 72, 1] || [25, 25, 0]
[74, 71, 1] || [26, 26, 0]
[73, 70, 1] || [27, 27, 0]
[72, 69, 1] || [28, 28, 0]
[71, 68, 1] || [29, 29, 0]
[70, 67, 1] || [30, 30, 0]
[69, 66, 1] || [31, 31, 0]
[68, 65, 1] || [32, 32, 0]
[67, 64, 1] || [33, 33, 0]
[66, 63, 1] || [34, 34, 0]
[65, 62, 1] || [35, 35, 0]
[64, 61, 1] || [36, 36, 0]
[63, 60, 1] || [37, 37, 0]
[62, 59, 1] || [38, 38, 0]
[61, 58, 1] || [39, 39, 0]
[60, 57, 1] || [40, 40, 0]
[59, 56, 1] || [41, 41, 0]
[58, 55, 1] || [42, 42, 0]
[57, 54, 1] || [43, 43, 0]
[56, 53, 1] || [44, 44, 0]
[55, 52, 1] || [45, 45, 0]
[54, 51, 1] || [46, 46, 0]
[53, 50, 1] || [47, 47, 0]
[52, 49, 1] || [48, 48, 0]
[51, 48, 1] || [49, 49, 0]
[50, 47, 1] || [50, 50, 0]
[49, 46, 1] || [51, 51, 0]
[48, 45, 1] || [52, 52, 0]
[47, 44, 1] || [53, 53, 0]
[46, 43, 1] || [54, 54, 0]
[45, 42, 1] || [55, 55, 0]
[44, 41, 1] || [56, 56, 0]
[43, 40, 1] || [57, 57, 0]
[42, 39, 1] || [58, 58, 0]
[41, 38, 1] || [59, 59, 0]
[40, 37, 1] || [60, 60, 0]
[39, 36, 1] || [61, 61, 0]
[38, 35, 1] || [62, 62, 0]
[37, 34, 1] || [63, 63, 0]
[36, 33, 1] || [64, 64, 0]
[35, 32, 1] || [65, 65, 0]
[34, 31, 1] || [66, 66, 0]
[33, 30, 1] || [67, 67, 0]
[32, 29, 1] || [68, 68, 0]
[31, 28, 1] || [69, 69, 0]
[30, 27, 1] || [70, 70, 0]
[29, 26, 1] || [71, 71, 0]
[28, 25, 1] || [72, 72, 0]
[27, 24, 1] || [73, 73, 0]
[26, 23, 1] || [74, 74, 0]
[25, 22, 1] || [75, 75, 0]
[24, 21, 1] || [76, 76, 0]
[23, 20, 1] || [77, 77, 0]
[22, 19, 1] || [78, 78, 0]
[21, 18, 1] || [79, 79, 0]
[20, 17, 1] || [80, 80, 0]
[19, 16, 1] || [81, 81, 0]
[18, 15, 1] || [82, 82, 0]
[17, 14, 1] || [83, 83, 0]
[16, 13, 1] || [84, 84, 0]
[15, 12, 1] || [85, 85, 0]
[14, 11, 1] || [86, 86, 0]
[13, 10, 1] || [87, 87, 0]
[12, 9, 1] || [88, 88, 0]
[11, 8, 1] || [89, 89, 0]
[10, 7, 1] || [90, 90, 0]
[9, 6, 1] || [91, 91, 0]
[8, 5, 1] || [92, 92, 0]
[7, 4, 1] || [93, 93, 0]
[6, 3, 1] || [94, 94, 0]
[5, 2, 1] || [95, 95, 0]
[4, 1, 1] || [96, 96, 0]
[3, 0, 1] || [97, 97, 0]
[1, 0, 1] || [99, 97, 0]
[0, 0, 1] || [100, 97, 0]
